# 格式：宠物中文名,蛋组
# 在逗号后填写蛋组即可。仅 s2 有图宠物 + 星尘虫、果冻 会出现在下拉框。
# 行首 # 注释里的英文为 s2/ 文件夹中的图片文件名，中文名不对可自行改。

# ── s2 赛季（s2 文件夹，共 18 只）──
# fox.png
灵狐,动物组，火系
# didi.png
炫光迪迪,动物组、大地组，光系
# ding.png
恶魔叮,妖精组，恶系
# doudou.png
小丑豆豆,妖精组，恶系
# du.png
嘟嘟锅,妖精组、大地组，毒系
# firework.png
烟花团,机械族、魔力组，火系
# gugumao.png
咕咕帽,妖精组，幽系
# guxiang.png
小鼓象,动物组、机械组，机械系
# haikui.png
加油海葵,妖精组，水系
# hmz.png
猴麦仔,动物组、机械组，普通系
# muou.png
牵线木偶,妖精组、拟人组，幻系
# pear.png
菊花梨,植物组，萌系
# qq.png
公平鸽,天空组，普通系
# tree.png
幽影树,植物组、妖精组，幽系
# unicorn.png
小独角兽,动物组、巨灵组，光系
# ye.png
小夜,妖精组、拟人组，恶系


# ── 非 s2 图，但纳入惊喜盒子选择 ──
# jelly.png（根目录）
果冻,精灵组，水系
# ladybug.png（根目录）
星尘虫,昆虫组，虫系
